atemp,casual,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
0.2121,1,0,1,0.55,0.18,2,6,16.355,0
incons,3,incons,2,0.55,0.18,2,6,0,0
0.197,0,0,3,0.55,3.4328,3,13.8775,0.1642,0
0.197,0,0,4,0.55,0.18,3,6,16.355,0
0.1667,incons,0,5,0.74,0.16,2,13.8775,0.1642,0
0.1667,incons,0,6,0.74,0.16,2,13.8775,-9.925,0
0.1818,1,0,7,0.74,0.16,2,incons,incons,0
0.1818,0,0,8,0.93,0.16,3,6,16.355,0
0.1818,0,0,9,0.93,0.16,3,6,0.1045,0
0.197,5,18.130475,10,0.8,0.18,2,6,16.355,0
0.1818,2,0,23.0,11.9068,0.2,2,6,0.3881,0
5.2925,175.0,0,12,0.59,0.2,2,6,0.3582,0
0.1818,7,0,23.0,0.44,0.2,1,-8.4625,0.3284,0
0.1667,12,0,14,0.32,0.2,1,6,0.4925,incons
0.1667,5,0,15,0.32,0.2,1,6,0.4478,0
0.1364,8,0,16,0.29,0.18,-2.5,6,0.4478,0
0.1212,5,18.130475,17,0.37,3.4328,1,6,0.5522,0
0.1212,3,0,18,0.39,0.14,1,6,-9.925,-10.45
0.1212,4,0,19,0.36,0.14,1,6,0.2537,0
0.1212,incons,0,23.0,0.36,3.4328,1,6,0.2537,0
0.1061,2,0,21,0.39,0.12,4.0,6,0.3582,0
0.1061,1,0,22,0.36,incons,1,6,16.355,0
0.0606,0,0,23,0.39,0.1,4.0,6,0.4478,0
5.2925,1,0,0,0.42,0.1,1,0,0.3881,12.07
0.0606,0,-10.884125,1,0.42,0.1,1,0,0.4627,0
5.2925,0,0,23.0,0.46,incons,1,0,0.4627,0
0.0758,0,-10.884125,3,0.46,3.4328,1,0,0.4179,17.07
0.0909,0,0,4,0.53,0.08,1,13.8775,0.194,0
0.0909,0,0,5,0.53,0.08,incons,0,0.194,0
0.0909,0,18.130475,6,0.49,0.1,1,0,0.2836,0
0.0909,1,0,7,0.53,0.08,1,0,0.194,0
0.0909,0,18.130475,8,0.49,0.1,1,0,0.2836,0
0.0758,0,0,incons,0.46,0.12,1,0,0.5224,0
0.1061,0,0,10,0.43,0.14,1,0,16.355,0
0.1212,2,0,11,0.4,0.16,1,13.8775,16.355,0
0.1364,175.0,0,12,11.9068,0.18,1,0,0.4478,0
0.1667,6,0,13,0.34,0.2,4.0,-8.4625,0.4478,17.07
0.1818,8,0,14,0.32,0.22,1,0,0.4627,0
5.2925,5,0,15,0.35,0.22,1,0,0.3582,incons
0.1667,175.0,0,16,0.34,0.2,1,0,0.4478,0
0.1515,3,0,17,0.37,0.18,3.5,0,0.3881,0
0.1364,4,0,18,-7.178,0.16,1,0,0.3284,0
0.1364,175.0,0,19,0.43,0.16,incons,0,16.355,0
0.1212,0,0,20,0.46,0.14,1,-8.4625,-9.925,0
0.1061,1,18.130475,21,0.46,3.4328,-2.5,0,0.4179,0
0.1212,5,0,22,0.46,0.14,4.0,0,0.2985,0
0.1364,0,0,23,0.5,0.12,1,0,0.194,0
0.1212,2,0,0,0.5,0.12,1,1,0.2836,1
0.1212,1,incons,1,0.5,0.12,1,1,0.2836,1
0.1212,0,0,2,incons,0.12,1,1,0.2239,17.07
incons,0,0,3,0.5,3.4328,1,1,0.2239,1
0.1212,1,0,4,0.54,0.1,1,1,0.1343,1
5.2925,0,0,5,0.54,0.1,1,13.8775,0.2537,incons
-3.4875,0,0,6,0.5,0.12,-2.5,1,0.2836,1
5.2925,2,0,7,0.5,3.4328,1,1,0.2239,1
5.2925,4,0,8,0.5,0.12,2,1,0.2836,-10.45
0.1212,2,0,9,0.5,0.14,2,1,0.2537,1
0.1212,0,0,10,0.5,0.14,2,13.8775,0.2985,17.07
0.1364,2,0,11,0.47,0.16,2,1,0.2836,1
0.1818,5,0,12,0.4,0.2,2,incons,incons,1
5.2925,incons,-10.884125,10.375,0.4,0.2,2,1,0.2836,1
0.197,0,0,14,0.4,0.2,2,1,0.2239,1
0.197,2,0,incons,0.4,3.4328,2,1,0.2239,17.07
0.2121,4,0,16,0.4,0.2,1,1,incons,1
0.2273,-11.1,0,17,0.4,0.2,3.5,1,0.1045,1
5.2925,1,0,23.0,0.4,0.2,1,1,0.2239,1
0.1667,3,0,19,0.47,0.16,1,1,0.1642,1
0.1667,1,0,20,0.5,incons,1,1,0.1642,incons
0.1364,1,0,21,0.59,0.14,1,1,0.194,1
0.1515,2,0,22,0.59,0.14,1,1,16.355,1
0.1515,0,0,incons,0.59,0.14,1,1,0.1642,1
0.1667,2,0,0,0.59,3.4328,1,2,0.1045,17.07
0.1515,0,18.130475,1,0.59,0.14,1,2,0.1642,1
0.1515,0,0,2,0.55,0.16,2,2,16.355,1
0.1818,0,0,5,11.9068,incons,2,2,0.1343,1
0.1818,0,0,23.0,11.9068,0.16,2,2,0.1343,1
0.2273,2,0,7,0.55,0.16,4.0,2,0,1
0.2121,3,0,8,0.51,0.18,2,2,0.0896,1
0.197,3,0,9,0.51,0.18,2,2,0.1642,1
5.2925,3,0,10,-7.178,0.2,incons,13.8775,0.1642,1
0.2121,4,0,11,incons,0.2,incons,2,16.355,-10.45
0.2273,2,0,12,0.51,0.2,2,13.8775,0.1045,1
0.2273,-11.1,0,13,0.59,0.2,2,2,0.0896,1
0.2273,3,0,14,11.9068,0.2,4.0,2,0.0896,1
0.197,2,0,15,0.8,0.16,2,2,16.355,1
0.1515,4,0,16,11.9068,0.16,2,2,0.2239,1
0.1515,6,0,23.0,0.86,0.16,2,2,16.355,1
0.1818,1,0,18,0.93,0.16,3,2,0.1045,1
0.2273,0,0,19,0.93,0.16,3,2,0,1
0.1515,0,18.130475,20,11.9068,0.16,incons,2,0.194,1
0.197,0,0,21,0.86,3.4328,3,2,0.0896,1
0.1818,1,0,23.0,0.93,3.4328,3,13.8775,0.1045,1
0.197,1,0,23,0.93,0.16,3,2,0.0896,1
0.197,0,18.130475,incons,0.86,0.16,2,3,0.0896,1
5.2925,0,incons,1,0.86,0.16,2,3,0.1045,1
0.1515,0,0,incons,0.86,0.14,4.0,3,0.1343,1
0.1515,0,0,5,0.86,3.4328,1,3,0.1642,1
0.1515,0,0,6,0.93,-2.388,1,3,0.1343,1
0.1515,0,0,7,0.69,3.4328,1,3,0.1343,1
0.1667,3,0,8,0.59,0.16,1,3,0.1642,1
5.2925,3,0,9,0.59,0.16,1,3,0.3284,-10.45
0.1818,0,incons,incons,0.55,3.4328,1,3,0.2239,1
0.1818,3,0,11,incons,0.2,1,3,0.3881,1
0.1515,3,0,12,0.47,0.2,1,3,0.5821,1
0.197,0,0,13,0.44,0.22,1,3,0.3582,1
0.1818,0,0,14,0.47,0.2,1,incons,0.3284,1
0.1667,1,0,15,0.47,0.2,1,13.8775,0.4179,1
5.2925,5,0,16,0.44,0.22,1,3,0.3284,1
0.1818,0,incons,17,0.47,0.2,1,3,16.355,1
5.2925,2,0,18,0.47,0.2,1,3,0.5224,1
0.1515,175.0,0,19,0.47,0.18,1,3,0.4179,1
0.1364,2,0,20,0.5,0.16,1,3,16.355,1
0.1364,0,0,21,0.55,0.16,1,3,0.3284,1
0.1212,1,0,22,0.55,0.16,1,incons,0.4478,1
0.1061,incons,0,23,0.59,0.14,3.5,3,16.355,1
0.1212,1,incons,10.375,0.59,0.14,1,13.8775,16.355,1
0.1212,0,18.130475,incons,0.5,0.14,1,4,0.2836,1
0.1212,0,0,23.0,incons,0.14,1,4,0.3582,1
5.2925,0,0,3,0.5,0.14,1,4,0.3284,1
0.1212,0,0,4,0.5,0.14,1,4,0.2537,1
0.1212,0,0,5,0.5,0.14,1,4,0.2985,1
0.1515,0,0,6,0.54,0.12,1,4,16.355,17.07
0.1515,0,incons,7,0.54,0.12,1,4,0.1343,1
0.1364,5,0,8,0.5,0.14,1,4,incons,1
0.1212,2,0,9,0.5,3.4328,1,4,0.3284,17.07
0.1364,2,0,10,incons,0.16,incons,4,0.3582,-10.45
0.1667,4,-10.884125,11,0.44,0.2,2,4,0.4478,1
0.1667,3,0,12,0.44,incons,1,13.8775,0.4179,1
0.197,18.26,0,13,0.41,0.22,1,-8.4625,0.4478,1
0.197,3,0,14,0.41,0.22,1,4,incons,1
0.2121,5,0,15,0.38,3.4328,1,4,0.2985,1
0.2121,2,0,16,0.38,0.24,1,4,0.3582,1
0.1818,4,0,17,0.4,0.2,1,4,0.2836,1
0.1818,3,0,18,0.4,0.2,-2.5,4,0.3284,1
0.1515,1,0,10.375,0.47,0.16,1,4,16.355,1
0.1515,0,0,20,0.47,0.16,1,4,0.2239,1
0.1212,0,0,21,0.46,0.14,1,4,0.2985,1
0.1212,0,0,22,0.46,0.14,1,4,0.3284,17.07
0.1364,1,18.130475,23,0.5,0.12,1,4,0.194,1
incons,0,0,0,0.5,0.12,1,5,0.194,17.07
0.1212,0,0,1,0.54,0.1,1,5,0.1642,1
0.1212,0,0,2,0.54,0.1,1,5,0.1343,1
0.1364,0,0,3,0.54,0.1,1,5,0.1045,1
0.1364,incons,0,23.0,0.54,0.1,1,5,16.355,1
0.1818,0,0,6,0.54,0.1,-2.5,5,16.355,1
0.1212,0,0,7,0.74,0.1,1,5,0.1642,1
0.1667,2,0,23.0,11.9068,0.12,1,5,16.355,17.07
0.1515,0,0,9,0.69,incons,1,5,0.1343,12.07
0.1818,4,0,10,0.55,0.18,1,5,0.194,1
0.1667,6,0,11,0.51,0.18,1,5,0.2836,1
0.197,2,0,12,0.44,0.2,3.5,5,0.2537,1
0.197,4,0,incons,0.37,0.22,1,5,0.3881,1
-3.4875,5,0,14,-7.178,0.22,1,5,0.2836,1
0.2424,9,0,15,0.38,incons,1,5,0.1642,1
0.2424,3,0,16,0.41,0.22,1,5,16.355,1
0.2273,incons,0,17,0.41,0.22,1,5,0.1642,1
0.2576,incons,0,18,incons,0.2,1,5,0,1
0.197,3,0,23.0,0.59,0.16,1,5,0.0896,1
0.2424,0,0,20,0.59,0.18,1,-8.4625,0,1
0.2273,4,0,incons,0.69,incons,1,13.8775,0,1
5.2925,2,0,22,0.69,0.16,2,5,0,1
5.2925,1,0,23,0.55,0.18,2,5,0,-7.45
0.2424,3,0,10.375,0.55,0.18,1,6,0,0
0.197,2,0,1,0.59,incons,2,6,0.0896,0
0.197,0,0,2,0.59,0.16,2,6,-9.925,0
0.2273,incons,0,incons,0.59,0.16,2,6,0,0
0.2273,0,0,4,0.59,0.16,2,6,0,incons
0.2273,0,0,5,0.59,incons,1,6,16.355,0
0.1667,incons,0,6,0.63,0.14,1,6,0.1045,0
-3.4875,-11.1,0,7,0.63,0.14,4.0,6,0,0
0.1515,1,0,8,0.63,3.4328,1,6,0.1343,0
0.1818,2,0,9,0.64,3.4328,1,6,0.1343,0
-3.4875,2,0,10,0.59,0.18,incons,6,0.1642,0
0.197,18,0,11,0.55,0.2,1,6,0.2239,0
-3.4875,15,0,12,0.48,0.24,1,6,0.2239,0
0.2576,21,0,13,0.38,0.28,1,6,0.2985,-10.45
0.2879,175.0,0,14,0.39,0.3,1,-8.4625,0.2836,0
0.3182,21,0,15,0.36,0.32,2,incons,0.194,17.07
0.3333,33,0,16,0.34,0.34,2,6,0.194,0
0.303,29,0,17,0.36,3.4328,2,6,16.355,0
0.2879,15,0,18,0.45,0.3,2,6,0.2537,0
0.303,14,0,19,0.39,0.32,2,6,0.2537,0
0.303,6,0,23.0,0.39,0.32,2,6,0.2537,0
0.303,6,-10.884125,21,11.9068,0.32,2,6,0.2239,0
incons,-11.1,0,22,0.42,0.3,2,6,0.1045,0
0.2879,5,0,23,0.45,0.3,1,6,0.2836,0
0.303,6,18.130475,0,0.56,0.26,1,0,0,17.07
0.2727,4,0,1,0.56,0.26,1,0,0.1343,0
0.2879,3,0,2,-7.178,0.26,1,0,16.355,0
0.2727,9,0,3,-7.178,0.22,1,0,0,0
0.2576,0,0,4,incons,0.26,1,0,0.1642,0
0.2576,1,0,5,0.56,0.26,2,0,0.1642,0
0.2576,0,0,6,0.56,0.26,-2.5,0,0.1642,incons
0.2121,0,0,23.0,0.56,0.24,4.0,-8.4625,0.2985,0
0.2121,0,0,8,0.55,0.22,1,0,0.2836,0
0.2121,3,0,9,0.51,0.22,1,0,0.2537,0
0.2121,8,0,10,0.51,0.22,1,incons,incons,0
0.2273,23,0,23.0,0.44,0.24,1,0,0.2537,incons
0.2121,29,incons,12,0.41,0.24,1,incons,0.2836,0
0.2273,23,0,13,0.35,0.26,1,0,0.2985,17.07
0.2727,22,0,14,0.36,incons,1,0,0.2537,0
0.2424,35,0,23.0,0.38,3.4328,1,13.8775,0.2537,0
-3.4875,175.0,0,23.0,-7.178,incons,1,0,0.2239,0
0.2121,23,0,17,0.37,incons,1,0,0.2537,0
0.2121,11,0,18,0.4,0.2,1,0,0.1642,0
0.197,14,0,incons,0.47,0.18,1,0,0.1343,0
0.197,7,0,20,0.47,0.18,1,0,0.1642,-10.45
0.197,6,0,23.0,incons,0.18,1,0,0.1642,-10.45
0.2121,2,incons,22,0.49,0.2,2,0,0.1343,17.07
0.2273,0,0,23,0.4,0.2,2,0,0.1045,17.07
0.197,1,1,0,0.47,0.2,2,1,0.2239,0
0.197,1,1,1,0.44,0.2,2,1,0.194,0
0.1667,0,18.130475,2,0.43,0.18,2,13.8775,0.2537,-10.45
0.1818,0,1,10.375,0.43,0.18,2,1,0.194,0
0.197,1,1,4,0.43,0.18,2,1,0.1343,0
-3.4875,0,1,5,0.43,0.18,2,1,0.1642,0
5.2925,0,1,6,0.43,0.18,2,1,0.194,0
0.1818,18.26,1,-12.625,0.5,0.16,-2.5,13.8775,0.1343,0
0.1515,3,1,8,11.9068,3.4328,2,1,0.2239,0
incons,8,1,9,-7.178,0.16,2,1,-9.925,0
0.1515,7,1,10,0.5,0.16,2,1,0.2537,17.07
-3.4875,9,1,11,0.55,0.16,2,1,0.194,0
0.197,10,1,12,0.47,0.18,2,1,0.1343,0
0.197,13,1,13,0.47,0.18,2,1,0.1343,0
0.2121,incons,18.130475,14,0.43,0.18,2,1,0.1045,0
0.2121,18.26,18.130475,15,0.47,0.2,2,1,incons,0
0.2121,6,1,16,11.9068,0.2,2,1,0.1642,0
0.197,4,1,10.375,0.51,0.2,1,1,0.194,0
0.1667,7,1,23.0,0.55,0.18,2,1,0.2537,0
0.1818,2,1,19,0.59,0.18,3,1,0.194,0
incons,4,1,20,0.8,0.16,3,1,0.194,0
0.1515,175.0,1,21,0.8,0.16,3,1,0.194,incons
0.1212,175.0,1,22,0.93,0.14,3,1,0.2537,0
0.1364,1,1,23,-7.178,0.16,3,1,-9.925,0
0.1818,0,0,12,0.86,0.2,2,2,0.3284,1
0.197,0,0,13,0.86,0.2,2,incons,0.2239,1
0.2273,2,0,14,0.8,0.22,2,2,0.1642,1
0.2273,3,0,15,0.87,0.22,2,2,0.1642,1
0.2273,0,18.130475,16,0.87,0.22,2,2,0.194,17.07
0.2273,1,0,17,0.82,0.22,2,2,0.194,1
0.2273,1,0,18,0.8,0.22,2,2,0.1642,1
0.2273,1,0,19,0.8,0.22,2,2,0.1343,1
0.2727,0,0,20,0.87,0.22,4.0,2,incons,1
0.2424,18.26,18.130475,21,0.93,0.22,2,2,0.1045,1
0.2576,0,0,22,0.93,0.22,2,2,0.0896,1
0.2727,1,0,23,0.93,0.22,2,2,0,1
0.2727,175.0,0,incons,0.93,0.22,2,3,0,1
0.2273,1,0,incons,0.93,-2.388,3,3,0.1343,1
incons,-11.1,0,2,11.9068,0.22,3,3,0.1343,1
0.2273,1,0,4,0.93,0.22,incons,-8.4625,0.1343,1
0.2576,0,0,5,11.9068,3.4328,2,3,0.0896,1
0.2576,0,0,23.0,11.9068,incons,2,3,0.0896,1
0.2576,1,0,7,0.92,0.24,2,3,0.1045,1
0.2576,1,0,8,0.93,3.4328,2,3,0.1045,1
0.2576,2,0,9,0.93,0.24,2,3,0.1045,1
0.2727,1,0,10,0.93,3.4328,2,3,0.1343,1
0.303,175.0,0,11,0.87,0.28,2,13.8775,0.0896,1
0.3182,5,0,12,0.81,0.3,2,13.8775,0.0896,1
0.4091,175.0,0,13,0.62,3.4328,1,3,0.2836,17.07
0.4091,7,0,14,0.58,0.4,1,3,0.2537,1
0.4091,4,0,15,0.54,0.4,1,3,0.2836,17.07
0.3939,10,0,16,0.58,0.38,1,3,0.3881,1
0.3333,7,0,17,0.57,0.36,1,3,0.3284,1
0.3182,5,0,18,0.61,0.34,4.0,13.8775,0.2836,1
0.2879,4,0,19,0.57,0.32,1,3,0.4179,1
0.303,2,0,20,0.49,0.32,-2.5,incons,0.2985,1
0.2879,4,0,23.0,11.9068,0.32,1,3,0.4179,1
5.2925,6,0,22,0.52,0.3,1,3,16.355,1
0.2727,1,0,23,0.52,0.3,1,3,0.4627,1
0.2273,175.0,incons,0,0.56,0.26,1,4,0.3881,1
0.2727,2,0,1,0.56,0.26,1,13.8775,0,1
5.2925,0,0,2,0.56,3.4328,1,4,0,1
0.2576,0,0,3,0.56,0.26,1,incons,16.355,1
0.2576,incons,18.130475,4,0.56,3.4328,1,4,0.1642,-10.45
0.2273,0,0,5,0.6,0.24,1,4,-9.925,1
0.2121,0,0,6,0.6,0.22,4.0,4,0.2239,1
0.2121,1,0,20.375,0.55,0.22,1,13.8775,0.2239,1
0.2121,2,0,8,0.55,0.22,1,4,0.2836,1
0.2273,3,0,9,0.52,0.24,2,4,-9.925,1
0.2273,incons,0,23.0,0.48,0.26,1,4,0.2985,1
0.2727,5,0,11,0.45,0.28,2,4,0.1642,1
0.3333,7,0,12,0.42,0.3,2,4,0,1
0.2879,12,0,23.0,0.45,0.28,2,4,0.1045,17.07
0.303,6,0,14,0.45,3.4328,2,4,0.1343,17.07
