atemp,casual,cnt,holiday,hr,hum,registered,temp,weathersit,weekday,windspeed,workingday
0.2121,1.0,12.0,0.0,23.0,0.55,11.0,0.18,1.0,incons,-9.925,1.0
0.1818,0.0,5.0,0.0,0.0,0.55,5.0,0.16,1.0,2.0,0.1045,1.0
0.1818,0.0,2.0,0.0,1.0,0.59,2.0,0.16,-2.5,2.0,0.1045,1.0
0.1515,18.259999999999998,1.0,0.0,,0.63,1.0,0.14,1.0,2.0,0.1343,1.0
5.2925,0.0,2.0,0.0,4.0,0.63,2.0,0.14,1.0,2.0,0.0896,
0.1515,,4.0,0.0,-12.625,0.68,4.0,0.12,1.0,2.0,0.1045,1.0
,0.0,36.0,0.0,6.0,0.74,36.0,0.12,1.0,2.0,0.1045,-10.450000000000001
0.1515,2.0,94.0,,7.0,0.74,92.0,0.12,1.0,2.0,0.1343,1.0
0.1515,2.0,179.0,18.130475,8.0,0.69,177.0,,1.0,incons,0.1642,1.0
0.1515,2.0,100.0,0.0,9.0,0.64,98.0,0.16,1.0,2.0,0.2239,1.0
0.1364,5.0,incons,0.0,10.0,0.69,37.0,0.16,2.0,2.0,0.3284,1.0
-3.4875,7.0,57.0,0.0,11.0,0.51,-15.878937499999997,0.22,1.0,2.0,0.2985,1.0
0.2273,12.0,78.0,0.0,12.0,0.51,66.0,0.22,incons,2.0,0.1642,1.0
0.2273,18.0,97.0,0.0,13.0,0.56,79.0,0.24,1.0,-8.462499999999999,0.194,1.0
0.2576,9.0,63.0,0.0,-6.625,0.52,54.0,0.26,1.0,2.0,0.2239,1.0
0.2727,17.0,-22.322812499999998,0.0,10.375,0.52,48.0,0.28,1.0,2.0,0.2537,incons
-3.4875,15.0,-22.322812499999998,0.0,16.0,0.49,68.0,0.3,1.0,2.0,0.2537,
0.2727,10.0,212.0,0.0,17.0,0.48,202.0,0.28,1.0,2.0,0.2239,1.0
0.2576,,182.0,0.0,18.0,0.48,179.0,0.26,1.0,2.0,0.194,1.0
0.2576,2.0,112.0,0.0,19.0,0.48,110.0,0.24,1.0,2.0,0.1045,1.0
0.2576,1.0,54.0,0.0,20.0,0.48,53.0,0.24,1.0,2.0,0.1045,1.0
,0.0,48.0,0.0,21.0,0.64,48.0,0.22,1.0,2.0,0.0,1.0
0.2576,1.0,35.0,0.0,22.0,,34.0,0.22,1.0,2.0,0.0896,1.0
0.2273,2.0,11.0,0.0,23.0,0.69,9.0,0.2,1.0,2.0,0.0896,1.0
0.2576,0.0,6.0,incons,0.0,,6.0,0.2,1.0,3.0,0.0,1.0
0.197,0.0,6.0,0.0,1.0,0.74,,0.16,1.0,3.0,0.0896,1.0
0.197,,2.0,0.0,2.0,0.74,2.0,0.16,1.0,3.0,0.0896,1.0
0.2273,0.0,2.0,0.0,4.0,0.48,2.0,0.24,1.0,3.0,0.2239,1.0
0.2273,0.0,3.0,0.0,5.0,0.47,3.0,0.22,1.0,3.0,0.1642,1.0
0.197,incons,33.0,0.0,6.0,0.47,33.0,0.2,1.0,-8.462499999999999,0.2239,1.0
0.1818,1.0,88.0,0.0,7.0,0.43,87.0,0.18,1.0,13.8775,0.194,1.0
0.1818,-11.1,-22.322812499999998,0.0,8.0,0.4,incons,0.2,1.0,3.0,0.2985,1.0
0.197,6.0,115.0,0.0,-6.625,0.37,109.0,0.22,1.0,3.0,0.3284,1.0
0.197,4.0,57.0,0.0,-12.625,0.37,53.0,3.4328000000000003,1.0,3.0,-9.925,1.0
0.2273,12.0,46.0,0.0,20.375,0.33,34.0,0.26,1.0,3.0,0.3284,1.0
0.2273,5.0,79.0,0.0,12.0,incons,74.0,0.26,1.0,3.0,0.3284,1.0
0.2576,6.0,71.0,0.0,13.0,0.3,65.0,0.28,1.0,3.0,0.2985,1.0
0.2879,incons,62.0,0.0,14.0,0.28,52.0,0.3,incons,3.0,0.194,1.0
0.2879,7.0,62.0,0.0,15.0,0.28,55.0,0.3,3.5,3.0,-9.925,1.0
0.3182,4.0,89.0,0.0,16.0,0.28,85.0,0.3,1.0,3.0,0.0896,-7.45
0.2273,4.0,190.0,0.0,17.0,0.38,186.0,0.24,1.0,3.0,0.194,1.0
0.2424,3.0,169.0,0.0,18.0,,,0.24,1.0,3.0,0.1343,1.0
0.2576,-11.1,37.3936875,0.0,19.0,0.38,127.0,0.24,1.0,13.8775,0.1045,1.0
incons,7.0,89.0,0.0,,0.47,82.0,0.22,1.0,3.0,0.1642,
0.197,3.0,43.0,0.0,21.0,0.51,40.0,0.2,1.0,3.0,0.194,1.0
0.197,1.0,42.0,0.0,22.0,0.55,41.0,0.18,1.0,3.0,0.1343,1.0
0.2576,1.0,19.0,0.0,23.0,0.47,18.0,0.2,1.0,3.0,0.0,1.0
0.2424,0.0,11.0,0.0,0.0,0.55,11.0,0.18,1.0,4.0,0.0,1.0
0.2273,0.0,4.0,0.0,incons,0.64,4.0,3.4328000000000003,1.0,4.0,0.0,1.0
0.2273,0.0,2.0,0.0,2.0,0.64,2.0,0.16,1.0,4.0,0.0,1.0
0.197,incons,1.0,-10.884125000000001,4.0,0.64,1.0,0.16,2.0,4.0,0.0896,1.0
0.1818,0.0,incons,incons,,0.69,4.0,0.14,2.0,4.0,0.0896,1.0
0.1667,0.0,36.0,0.0,6.0,0.63,36.0,0.14,2.0,13.8775,,1.0
0.2273,0.0,95.0,0.0,,0.59,95.0,0.16,2.0,4.0,0.0,1.0
0.2273,3.0,219.0,0.0,8.0,0.59,216.0,0.16,1.0,4.0,0.0,1.0
0.2424,6.0,122.0,0.0,9.0,0.51,116.0,0.18,2.0,13.8775,0.0,1.0
0.2576,3.0,45.0,0.0,10.0,0.47,42.0,0.2,1.0,,0.0,1.0
incons,2.0,59.0,0.0,11.0,0.44,57.0,0.22,1.0,13.8775,0.0896,1.0
0.2879,6.0,84.0,0.0,12.0,0.35,,0.26,1.0,4.0,0.0,1.0
,12.0,67.0,0.0,13.0,0.35,55.0,0.26,incons,,0.1045,1.0
0.2727,11.0,70.0,,14.0,0.36,59.0,0.28,1.0,4.0,0.1642,1.0
-3.4875,8.0,62.0,0.0,15.0,0.36,54.0,0.28,1.0,4.0,0.0,1.0
0.2576,12.0,86.0,0.0,16.0,0.38,74.0,0.26,1.0,4.0,0.1642,1.0
,9.0,172.0,0.0,17.0,0.51,163.0,incons,1.0,4.0,0.1642,1.0
0.2273,5.0,163.0,,18.0,0.51,158.0,0.22,1.0,4.0,0.1343,1.0
0.2576,3.0,112.0,0.0,19.0,0.55,109.0,-2.388,1.0,4.0,0.0896,1.0
0.2121,3.0,69.0,0.0,incons,0.51,66.0,0.2,1.0,4.0,0.1642,-7.45
0.2121,0.0,48.0,0.0,10.375,0.55,48.0,0.22,2.0,4.0,0.2239,1.0
0.2121,1.0,52.0,0.0,22.0,0.51,51.0,0.22,2.0,4.0,0.2836,1.0
5.2925,4.0,23.0,0.0,-6.625,0.59,19.0,0.2,2.0,4.0,,1.0
0.197,incons,17.0,0.0,0.0,0.64,-15.878937499999997,0.2,2.0,5.0,0.194,1.0
0.197,-11.1,7.0,0.0,,0.69,5.0,,2.0,5.0,0.2239,1.0
,0.0,1.0,0.0,2.0,0.69,1.0,0.2,2.0,,0.2239,1.0
0.2121,0.0,1.0,0.0,4.0,0.69,-15.878937499999997,0.2,2.0,5.0,0.1343,1.0
0.2727,0.0,5.0,0.0,5.0,0.55,5.0,0.22,3.0,5.0,0.0,1.0
0.2576,8.0,34.0,incons,6.0,0.69,26.0,0.2,2.0,5.0,0.0,1.0
0.2121,8.0,84.0,0.0,7.0,0.69,76.0,0.2,,5.0,0.1343,1.0
0.197,20.0,210.0,0.0,8.0,0.51,190.0,0.2,1.0,5.0,0.2537,1.0
,incons,-22.322812499999998,0.0,9.0,11.9068,125.0,0.2,1.0,5.0,0.2985,1.0
0.197,16.0,-22.322812499999998,0.0,10.0,0.37,47.0,0.22,,5.0,0.3284,1.0
0.197,19.0,-22.322812499999998,0.0,11.0,0.4,48.0,0.2,2.0,5.0,0.2239,1.0
0.197,9.0,59.0,,incons,0.37,50.0,0.2,2.0,5.0,0.2537,1.0
0.1818,9.0,73.0,0.0,13.0,0.37,64.0,0.2,2.0,,0.2836,1.0
0.197,7.0,50.0,0.0,14.0,0.4,43.0,0.2,2.0,5.0,0.2537,1.0
0.2121,9.0,72.0,0.0,15.0,0.37,63.0,3.4328000000000003,2.0,,0.1642,1.0
0.2121,5.0,87.0,0.0,16.0,0.37,82.0,0.2,2.0,5.0,0.1642,1.0
0.2576,9.0,187.0,0.0,17.0,0.37,178.0,0.2,2.0,5.0,0.0,1.0
0.2273,7.0,123.0,0.0,18.0,0.4,116.0,0.2,1.0,,0.0896,1.0
0.197,3.0,95.0,0.0,19.0,0.55,92.0,0.16,incons,5.0,0.0896,1.0
0.2121,1.0,51.0,0.0,20.0,0.47,50.0,0.18,1.0,5.0,0.1045,1.0
0.197,0.0,39.0,0.0,-12.625,0.47,39.0,0.18,1.0,5.0,0.1343,1.0
0.197,-11.1,36.0,0.0,22.0,0.43,34.0,0.18,2.0,5.0,0.1642,1.0
0.197,1.0,15.0,0.0,23.0,-7.178000000000001,14.0,3.4328000000000003,-2.5,5.0,0.1642,1.0
0.197,1.0,-22.322812499999998,0.0,0.0,incons,,0.18,2.0,6.0,0.1642,0.0
0.2121,1.0,16.0,0.0,1.0,0.55,15.0,0.18,2.0,6.0,,0.0
incons,3.0,16.0,incons,2.0,0.55,13.0,0.18,2.0,6.0,0.0,0.0
0.197,0.0,7.0,0.0,3.0,0.55,7.0,,3.0,,0.1642,0.0
0.197,0.0,1.0,0.0,4.0,0.55,1.0,0.18,3.0,6.0,16.355,0.0
0.1667,incons,incons,0.0,5.0,0.74,5.0,0.16,2.0,13.8775,0.1642,0.0
0.1667,incons,2.0,0.0,6.0,0.74,2.0,0.16,2.0,,-9.925,0.0
0.1818,1.0,incons,0.0,7.0,0.74,8.0,0.16,2.0,incons,incons,0.0
0.1818,0.0,15.0,0.0,8.0,0.93,15.0,0.16,3.0,6.0,16.355,0.0
0.1818,0.0,20.0,0.0,9.0,0.93,20.0,0.16,3.0,6.0,0.1045,0.0
0.197,5.0,61.0,18.130475,10.0,0.8,56.0,0.18,2.0,6.0,,0.0
0.1818,2.0,62.0,0.0,,11.9068,60.0,0.2,2.0,6.0,0.3881,0.0
,,-22.322812499999998,0.0,12.0,0.59,90.0,0.2,2.0,6.0,0.3582,0.0
0.1818,7.0,102.0,0.0,,0.44,95.0,0.2,1.0,-8.462499999999999,0.3284,0.0
0.1667,12.0,95.0,0.0,14.0,0.32,83.0,0.2,1.0,6.0,0.4925,incons
0.1667,5.0,74.0,0.0,15.0,0.32,26.727362499999998,0.2,1.0,6.0,0.4478,0.0
0.1364,8.0,76.0,0.0,16.0,0.29,68.0,0.18,-2.5,6.0,0.4478,0.0
0.1212,5.0,69.0,,17.0,0.37,64.0,,1.0,6.0,0.5522,0.0
0.1212,3.0,55.0,0.0,18.0,0.39,52.0,0.14,1.0,6.0,-9.925,-10.450000000000001
0.1212,4.0,30.0,0.0,19.0,0.36,-15.878937499999997,0.14,1.0,6.0,0.2537,0.0
0.1212,incons,28.0,0.0,,0.36,28.0,,1.0,6.0,0.2537,0.0
0.1061,2.0,37.0,0.0,21.0,0.39,35.0,0.12,,6.0,0.3582,0.0
0.1061,1.0,34.0,0.0,22.0,0.36,33.0,incons,1.0,6.0,,0.0
0.0606,0.0,22.0,0.0,23.0,0.39,22.0,0.1,,6.0,0.4478,0.0
,1.0,-22.322812499999998,0.0,0.0,0.42,24.0,0.1,1.0,0.0,0.3881,12.07
0.0606,0.0,12.0,-10.884125000000001,1.0,0.42,12.0,0.1,1.0,0.0,0.4627,0.0
,0.0,11.0,0.0,,0.46,11.0,incons,1.0,0.0,0.4627,0.0
0.0758,0.0,4.0,-10.884125000000001,3.0,0.46,4.0,,1.0,0.0,0.4179,
0.0909,0.0,1.0,0.0,4.0,0.53,1.0,0.08,1.0,13.8775,0.194,0.0
0.0909,0.0,1.0,0.0,5.0,0.53,1.0,0.08,incons,0.0,0.194,0.0
0.0909,0.0,1.0,,6.0,0.49,1.0,0.1,1.0,0.0,0.2836,0.0
0.0909,1.0,6.0,0.0,7.0,0.53,5.0,0.08,1.0,0.0,0.194,0.0
0.0909,0.0,10.0,,8.0,0.49,10.0,0.1,1.0,0.0,0.2836,0.0
0.0758,0.0,19.0,0.0,incons,0.46,19.0,0.12,1.0,0.0,0.5224,0.0
0.1061,0.0,49.0,0.0,10.0,0.43,49.0,0.14,1.0,0.0,,0.0
0.1212,2.0,49.0,0.0,11.0,0.4,47.0,0.16,1.0,,,0.0
0.1364,,83.0,0.0,12.0,,-15.878937499999997,0.18,1.0,0.0,0.4478,0.0
0.1667,6.0,-22.322812499999998,0.0,13.0,0.34,69.0,0.2,,-8.462499999999999,0.4478,
0.1818,8.0,72.0,0.0,14.0,0.32,64.0,0.22,1.0,0.0,0.4627,0.0
,5.0,82.0,0.0,15.0,0.35,77.0,0.22,1.0,0.0,0.3582,incons
0.1667,,92.0,0.0,16.0,0.34,79.0,0.2,1.0,0.0,0.4478,0.0
0.1515,3.0,62.0,0.0,17.0,0.37,59.0,0.18,3.5,0.0,0.3881,0.0
0.1364,4.0,48.0,0.0,18.0,-7.178000000000001,44.0,0.16,1.0,0.0,0.3284,0.0
0.1364,,41.0,0.0,19.0,0.43,40.0,0.16,incons,0.0,,0.0
0.1212,0.0,38.0,0.0,20.0,0.46,38.0,0.14,1.0,-8.462499999999999,-9.925,0.0
0.1061,1.0,20.0,,21.0,0.46,19.0,3.4328000000000003,-2.5,0.0,0.4179,0.0
0.1212,5.0,37.3936875,0.0,22.0,0.46,10.0,0.14,,0.0,0.2985,0.0
0.1364,0.0,6.0,0.0,23.0,0.5,,0.12,1.0,0.0,0.194,0.0
0.1212,2.0,5.0,0.0,0.0,0.5,3.0,0.12,1.0,1.0,0.2836,1.0
0.1212,1.0,1.0,incons,1.0,0.5,0.0,0.12,1.0,1.0,0.2836,1.0
0.1212,0.0,3.0,0.0,2.0,incons,3.0,0.12,1.0,1.0,0.2239,
incons,0.0,1.0,0.0,3.0,0.5,1.0,,1.0,1.0,0.2239,1.0
0.1212,1.0,,0.0,4.0,0.54,2.0,0.1,1.0,1.0,0.1343,1.0
,0.0,3.0,0.0,5.0,0.54,incons,0.1,1.0,13.8775,0.2537,incons
-3.4875,0.0,incons,0.0,6.0,0.5,31.0,0.12,-2.5,1.0,0.2836,1.0
,2.0,77.0,0.0,7.0,0.5,75.0,,1.0,1.0,0.2239,1.0
,4.0,188.0,0.0,8.0,0.5,incons,0.12,2.0,1.0,0.2836,-10.450000000000001
0.1212,2.0,94.0,0.0,9.0,0.5,92.0,0.14,2.0,1.0,0.2537,1.0
0.1212,0.0,31.0,0.0,10.0,0.5,31.0,0.14,2.0,,0.2985,
0.1364,2.0,30.0,0.0,11.0,0.47,28.0,0.16,2.0,1.0,0.2836,1.0
0.1818,5.0,52.0,0.0,12.0,0.4,47.0,0.2,2.0,incons,incons,1.0
,incons,37.3936875,-10.884125000000001,10.375,0.4,50.0,0.2,2.0,1.0,0.2836,1.0
0.197,0.0,47.0,0.0,14.0,0.4,47.0,0.2,2.0,1.0,0.2239,1.0
0.197,2.0,45.0,0.0,incons,0.4,43.0,,2.0,1.0,0.2239,
0.2121,4.0,74.0,0.0,16.0,0.4,70.0,0.2,1.0,1.0,incons,1.0
0.2273,-11.1,178.0,0.0,17.0,0.4,174.0,0.2,3.5,1.0,0.1045,1.0
,1.0,155.0,0.0,,0.4,154.0,0.2,1.0,1.0,0.2239,1.0
0.1667,3.0,95.0,0.0,19.0,0.47,92.0,0.16,1.0,1.0,0.1642,1.0
0.1667,1.0,74.0,0.0,20.0,0.5,73.0,incons,1.0,1.0,0.1642,incons
0.1364,1.0,38.0,0.0,21.0,0.59,37.0,0.14,1.0,1.0,0.194,1.0
0.1515,2.0,24.0,0.0,22.0,0.59,,0.14,1.0,1.0,,1.0
0.1515,0.0,18.0,0.0,incons,0.59,,0.14,1.0,1.0,0.1642,1.0
0.1667,2.0,12.0,0.0,0.0,0.59,10.0,3.4328000000000003,1.0,2.0,0.1045,
0.1515,0.0,3.0,18.130475,1.0,0.59,3.0,0.14,1.0,2.0,0.1642,1.0
0.1515,0.0,3.0,0.0,2.0,0.55,3.0,0.16,2.0,2.0,,1.0
0.1818,0.0,6.0,0.0,5.0,,6.0,incons,2.0,2.0,0.1343,1.0
0.1818,0.0,27.0,0.0,,,26.727362499999998,0.16,2.0,2.0,0.1343,1.0
0.2273,2.0,,0.0,7.0,0.55,97.0,0.16,,2.0,0.0,1.0
0.2121,3.0,217.0,0.0,8.0,0.51,214.0,0.18,2.0,2.0,0.0896,1.0
0.197,3.0,130.0,0.0,9.0,0.51,incons,0.18,2.0,2.0,0.1642,1.0
5.2925,3.0,54.0,0.0,10.0,-7.178000000000001,51.0,0.2,incons,,0.1642,1.0
0.2121,4.0,35.0,0.0,11.0,incons,31.0,0.2,incons,2.0,16.355,-10.450000000000001
0.2273,2.0,57.0,0.0,12.0,0.51,55.0,0.2,2.0,,0.1045,1.0
0.2273,-11.1,52.0,0.0,13.0,0.59,46.0,0.2,2.0,2.0,0.0896,1.0
0.2273,3.0,63.0,0.0,14.0,,60.0,0.2,,2.0,0.0896,1.0
0.197,2.0,47.0,0.0,15.0,0.8,45.0,0.16,2.0,2.0,16.355,1.0
0.1515,4.0,76.0,0.0,16.0,,72.0,0.16,2.0,2.0,0.2239,1.0
0.1515,6.0,136.0,0.0,,0.86,incons,0.16,2.0,2.0,,1.0
0.1818,1.0,incons,0.0,18.0,0.93,94.0,0.16,3.0,2.0,0.1045,1.0
0.2273,0.0,51.0,0.0,19.0,0.93,51.0,0.16,3.0,2.0,0.0,1.0
0.1515,0.0,32.0,18.130475,20.0,11.9068,32.0,0.16,incons,2.0,0.194,1.0
0.197,0.0,20.0,0.0,21.0,0.86,20.0,,3.0,2.0,0.0896,1.0
0.1818,1.0,29.0,0.0,,0.93,incons,3.4328000000000003,3.0,,0.1045,1.0
0.197,1.0,19.0,0.0,23.0,0.93,18.0,0.16,3.0,2.0,0.0896,1.0
0.197,0.0,7.0,18.130475,incons,0.86,7.0,0.16,2.0,3.0,0.0896,1.0
,0.0,6.0,incons,1.0,0.86,6.0,0.16,2.0,3.0,0.1045,1.0
0.1515,0.0,1.0,0.0,incons,0.86,1.0,0.14,,3.0,0.1343,1.0
0.1515,0.0,5.0,0.0,5.0,0.86,5.0,3.4328000000000003,1.0,3.0,0.1642,1.0
0.1515,0.0,16.0,0.0,6.0,0.93,16.0,-2.388,1.0,3.0,0.1343,1.0
0.1515,0.0,54.0,0.0,7.0,0.69,incons,,1.0,3.0,0.1343,1.0
0.1667,3.0,incons,0.0,8.0,0.59,125.0,0.16,1.0,3.0,0.1642,1.0
,3.0,-22.322812499999998,0.0,9.0,0.59,,0.16,1.0,3.0,0.3284,-10.450000000000001
0.1818,0.0,39.0,incons,incons,0.55,39.0,3.4328000000000003,1.0,3.0,0.2239,1.0
0.1818,3.0,35.0,0.0,11.0,incons,32.0,0.2,1.0,3.0,0.3881,1.0
0.1515,3.0,55.0,0.0,12.0,0.47,52.0,0.2,1.0,3.0,0.5821,1.0
0.197,0.0,49.0,0.0,13.0,0.44,49.0,0.22,1.0,3.0,0.3582,1.0
0.1818,0.0,44.0,0.0,14.0,0.47,44.0,0.2,1.0,incons,0.3284,1.0
0.1667,1.0,49.0,0.0,15.0,0.47,48.0,0.2,1.0,,0.4179,1.0
,5.0,68.0,0.0,16.0,0.44,63.0,0.22,1.0,3.0,0.3284,1.0
0.1818,0.0,37.3936875,incons,17.0,0.47,26.727362499999998,0.2,1.0,3.0,,1.0
5.2925,2.0,137.0,0.0,18.0,0.47,135.0,0.2,1.0,3.0,0.5224,1.0
0.1515,,83.0,0.0,19.0,0.47,82.0,0.18,1.0,3.0,0.4179,1.0
0.1364,2.0,56.0,0.0,20.0,0.5,54.0,0.16,1.0,3.0,16.355,1.0
0.1364,0.0,57.0,0.0,21.0,0.55,57.0,0.16,1.0,3.0,0.3284,1.0
0.1212,1.0,33.0,0.0,22.0,0.55,32.0,0.16,1.0,incons,0.4478,1.0
0.1061,incons,20.0,0.0,23.0,0.59,19.0,0.14,3.5,3.0,,1.0
0.1212,1.0,7.0,incons,10.375,0.59,6.0,0.14,1.0,,,1.0
0.1212,0.0,2.0,18.130475,incons,0.5,2.0,0.14,1.0,4.0,0.2836,1.0
0.1212,0.0,2.0,0.0,,incons,2.0,0.14,1.0,4.0,0.3582,1.0
5.2925,0.0,3.0,0.0,3.0,0.5,3.0,0.14,1.0,4.0,0.3284,1.0
0.1212,0.0,4.0,0.0,4.0,0.5,4.0,0.14,1.0,4.0,0.2537,1.0
0.1212,0.0,3.0,0.0,5.0,0.5,3.0,0.14,1.0,4.0,0.2985,1.0
0.1515,0.0,28.0,0.0,6.0,0.54,incons,0.12,1.0,4.0,16.355,
0.1515,0.0,72.0,incons,7.0,0.54,72.0,0.12,1.0,4.0,0.1343,1.0
0.1364,5.0,202.0,0.0,8.0,0.5,,0.14,1.0,4.0,incons,1.0
