alcalinity_of_ash,alcohol,ash,color_intensity,flavanoids,hue,magnesium,malic_acid,nonflavanoid_phenols,diluted_wines,proanthocyanins,proline,total_phenols
18.5,12.6,1.9,2.45,1.36,1.04,88,1.34,0.29,2.77,1.35,562,1.45
21,12.34,2.46,2.8,2.11,0.8,98,2.45,0.34,3.38,1.31,438,2.56
19.5,11.82,1.88,2.06,1.64,0.94,86,1.72,0.37,2.44,1.42,415,2.5
20.5,12.51,1.98,2.94,1.92,1.04,85,1.73,0.32,3.57,1.48,672,2.2
22,12.42,2.27,2.7,1.84,0.86,90,2.55,0.66,3.3,1.42,315,1.68
19,12.25,2.12,3.4,2.03,1,80,1.73,0.37,3.17,1.63,510,1.65
22.5,12.72,2.28,3.3,1.76,0.88,84,1.75,0.48,2.42,1.63,488,1.38
19,12.22,1.94,2.7,2.04,0.86,92,1.29,0.39,3.02,2.08,312,2.36
20,11.61,2.7,2.65,2.92,0.96,94,1.35,0.29,3.26,2.49,680,2.74
19.5,11.46,1.82,2.9,2.58,0.75,107,3.74,0.24,2.81,3.58,562,3.18
21,12.52,2.17,2,2.27,0.9,88,2.43,0.26,2.78,1.22,325,2.55
20,11.76,2.92,3.8,2.03,1.23,103,2.68,0.6,2.5,1.05,607,1.75
21,11.41,2.5,3.08,2.01,1.1,88,0.74,0.42,2.31,1.44,434,2.48
22.5,12.08,2.5,2.9,2.29,0.93,84,1.39,0.43,3.19,1.04,385,2.56
21.5,11.03,2.2,1.9,2.17,1.71,85,1.51,0.52,2.87,2.01,407,2.46
20.8,11.82,1.99,1.95,1.6,0.95,86,1.47,0.3,3.33,1.53,495,1.98
22.5,12.42,2.19,2.06,2.09,1.06,108,1.61,0.34,2.96,1.61,345,2
16,12.77,1.98,3.4,1.25,0.7,80,3.43,0.43,2.12,0.83,372,1.63
19,12,2,1.28,1.64,0.93,87,3.43,0.37,3.05,1.87,564,2
20,11.45,2.42,3.25,2.79,0.8,96,2.4,0.32,3.39,1.83,625,2.9
28.5,11.56,3.23,6,5.08,0.93,119,2.05,0.47,3.69,1.87,465,3.18
26.5,12.42,2.73,2.08,2.13,0.92,102,4.43,0.43,3.12,1.71,365,2.2
21.5,13.05,2.13,2.6,2.65,0.73,86,5.8,0.3,3.1,2.01,380,2.62
21,11.87,2.39,2.8,3.03,0.75,82,4.31,0.21,3.64,2.91,380,2.86
21,12.07,2.17,2.76,2.65,0.86,85,2.16,0.37,3.28,1.35,378,2.6
21.5,12.43,2.29,3.94,3.15,0.69,86,1.53,0.39,2.84,1.77,352,2.74
28.5,11.79,2.78,3,2.24,0.97,92,2.13,0.58,2.44,1.76,466,2.13
24.5,12.37,2.3,2.12,2.45,0.89,88,1.63,0.4,2.78,1.9,342,2.22
22,12.04,2.38,2.6,1.75,0.79,80,4.3,0.42,2.57,1.35,580,2.1
18,12.86,2.32,4.1,1.25,0.76,122,1.35,0.21,1.29,0.94,630,1.51
20,12.88,2.4,5.4,1.22,0.74,104,2.99,0.24,1.42,0.83,530,1.3
24,12.81,2.4,5.7,1.09,0.66,98,2.31,0.27,1.36,0.83,560,1.15
21.5,12.7,2.36,5,1.2,0.78,106,3.55,0.17,1.29,0.84,600,1.7
17.5,12.51,2.25,5.45,0.58,0.75,85,1.24,0.6,1.51,1.25,650,2
18.5,12.6,2.2,7.1,0.66,0.73,94,2.46,0.63,1.58,0.94,695,1.62
21,12.25,2.54,3.85,0.47,0.75,89,4.72,0.53,1.27,0.8,720,1.38
25,12.53,2.64,5,0.6,0.82,96,5.51,0.63,1.69,1.1,515,1.79
19.5,13.49,2.19,5.7,0.48,0.81,88,3.59,0.58,1.82,0.88,580,1.62
24,12.84,2.61,4.92,0.6,0.89,101,2.96,0.53,2.15,0.81,590,2.32
21,12.93,2.7,4.6,0.5,0.77,96,2.81,0.53,2.31,0.75,600,1.54
20,13.36,2.35,5.6,0.5,0.7,89,2.56,0.37,2.47,0.64,780,1.4
23.5,13.52,2.72,4.35,0.52,0.89,97,3.17,0.5,2.06,0.55,520,1.55
20,13.62,2.35,4.4,0.8,0.91,92,4.95,0.47,2.05,1.02,550,2
18.5,12.25,2.2,8.21,0.78,0.65,112,3.88,0.29,2,1.14,855,1.38
21,13.16,2.15,4,0.55,0.6,102,3.57,0.43,1.68,1.3,830,1.5
20,13.88,2.23,4.9,0.34,0.58,80,5.04,0.4,1.33,0.68,415,0.98
21.5,12.87,2.48,7.65,0.65,0.54,86,4.61,0.47,1.86,0.86,625,1.7
21.5,13.32,2.38,8.42,0.76,0.55,92,3.24,0.45,1.62,1.25,650,1.93
21.5,13.08,2.36,9.4,1.39,0.57,113,3.9,0.34,1.33,1.14,550,1.41
24,13.5,2.62,8.6,1.57,0.59,123,3.12,0.22,1.3,1.25,500,1.4
22,12.79,2.48,10.8,1.36,0.48,112,2.67,0.24,1.47,1.26,480,1.48
25.5,13.11,2.75,7.1,1.28,0.61,116,1.9,0.26,1.33,1.56,425,2.2
18.5,13.23,2.28,10.52,0.83,0.56,98,3.3,0.61,1.51,1.87,675,1.8
20,12.58,2.1,7.6,0.58,0.58,103,1.29,0.53,1.55,1.4,640,1.48
22,13.17,2.32,7.9,0.63,0.6,93,5.19,0.61,1.48,1.55,725,1.74
19.5,13.84,2.38,9.01,0.83,0.57,89,4.12,0.48,1.64,1.56,480,1.8
27,12.45,2.64,7.5,0.58,0.67,97,3.03,0.63,1.73,1.14,880,1.9
25,14.34,2.7,13,1.31,0.57,98,1.68,0.53,1.96,2.7,660,2.8
22.5,13.48,2.64,11.75,1.1,0.57,89,1.67,0.52,1.78,2.29,620,2.6
21,12.36,2.38,7.65,0.92,0.56,88,3.83,0.5,1.58,1.04,520,2.3
20,13.69,2.54,5.88,0.56,0.96,107,3.26,0.5,1.82,0.8,680,1.83
22,12.85,2.58,5.58,0.6,0.87,106,3.27,0.6,2.11,0.96,570,1.65
18.5,12.96,2.35,5.28,0.7,0.68,106,3.45,0.4,1.75,0.94,675,1.39
22,13.78,2.3,9.58,0.68,0.7,90,2.76,0.41,1.68,1.03,615,1.35
22.5,13.73,2.26,6.62,0.47,0.78,88,4.36,0.52,1.75,1.15,520,1.28
23,13.45,2.6,10.68,0.92,0.85,111,3.7,0.43,1.56,1.46,695,1.7
19.5,12.82,2.3,10.26,0.66,0.72,88,3.37,0.4,1.75,0.97,685,1.48
24.5,13.58,2.69,8.66,0.84,0.74,105,2.58,0.39,1.8,1.54,750,1.55
25,13.4,2.86,8.5,0.96,0.67,112,4.6,0.27,1.92,1.11,630,1.98
19,12.2,2.32,5.5,0.49,0.66,96,3.03,0.4,1.83,0.73,510,1.25
19.5,12.77,2.28,9.899999,0.51,0.57,86,2.39,0.48,1.63,0.64,470,1.39
20,14.16,2.48,9.7,0.7,0.62,91,2.51,0.44,1.71,1.24,660,1.68
20.5,13.71,2.45,7.7,0.61,0.64,95,5.65,0.52,1.74,1.06,740,1.68
23,13.4,2.48,7.3,0.75,0.7,102,3.91,0.43,1.56,1.41,750,1.8
20,13.27,2.26,10.2,0.69,0.59,120,4.28,0.43,1.56,1.35,835,1.59
20,13.17,2.37,9.3,0.68,0.6,120,2.59,0.53,1.62,1.46,840,1.65
24.5,14.13,2.74,9.2,0.76,0.61,96,4.1,0.56,1.6,1.35,560,2.05
