hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
14,,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
15,0,4,1,1,0.28,-3.4875,0.36,0,8,54,62
16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
17,0,4,1,1,incons,,0.51,0.1642,9,163,172
18,,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
19,0,4,1,1,-2.388,0.2576,0.55,0.0896,3,109,112
incons,0,4,-7.45,1,0.2,0.2121,0.51,0.1642,3,66,69
10.375,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
-6.625,0,4,1,2,0.2,5.2925,0.59,,4,19,23
0,0,5,1,2,0.2,0.197,0.64,0.194,incons,-15.8789375,17
,0,5,1,2,,0.197,0.69,0.2239,-11.1,5,7
2,0,,1,2,0.2,,0.69,0.2239,0,1,1
4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,-15.8789375,1
5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5
6,incons,5,1,2,0.2,0.2576,0.69,0,8,26,34
7,0,5,1,,0.2,0.2121,0.69,0.1343,8,76,84
8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
9,0,5,1,1,0.2,,11.9068,0.2985,incons,125,-22.3228125
10,0,5,1,,0.22,0.197,0.37,0.3284,16,47,-22.3228125
11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,-22.3228125
incons,,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
13,0,,1,2,0.2,0.1818,0.37,0.2836,9,64,73
14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
15,0,,1,2,3.4328,0.2121,0.37,0.1642,9,63,72
16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187
18,0,,1,1,0.2,0.2273,0.4,0.0896,7,116,123
19,0,5,1,incons,0.16,0.197,0.55,0.0896,3,92,95
20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
-12.625,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
22,0,5,1,2,0.18,0.197,0.43,0.1642,-11.1,34,36
23,0,5,1,-2.5,3.4328,0.197,-7.178,0.1642,1,14,15
0,0,6,0,2,0.18,0.197,incons,0.1642,1,,-22.3228125
1,0,6,0,2,0.18,0.2121,0.55,,1,15,16
2,incons,6,0,2,0.18,incons,0.55,0,3,13,16
3,0,,0,3,,0.197,0.55,0.1642,0,7,7
4,0,6,0,3,0.18,0.197,0.55,16.355,0,1,1
5,0,13.8775,0,2,0.16,0.1667,0.74,0.1642,incons,5,incons
6,0,,0,2,0.16,0.1667,0.74,-9.925,incons,2,2
7,0,incons,0,2,0.16,0.1818,0.74,incons,1,8,incons
8,0,6,0,3,0.16,0.1818,0.93,16.355,0,15,15
9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
10,18.130475,6,0,2,0.18,0.197,0.8,,5,56,61
,0,6,0,2,0.2,0.1818,11.9068,0.3881,2,60,62
12,0,6,0,2,0.2,,0.59,0.3582,,90,-22.3228125
,0,-8.4625,0,1,0.2,0.1818,0.44,0.3284,7,95,102
14,0,6,incons,1,0.2,0.1667,0.32,0.4925,12,83,95
15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,26.7273625,74
16,0,6,0,-2.5,0.18,0.1364,0.29,0.4478,8,68,76
17,,6,0,1,,0.1212,0.37,0.5522,5,64,69
18,0,6,-10.45,1,0.14,0.1212,0.39,-9.925,3,52,55
19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,-15.8789375,30
,0,6,0,1,,0.1212,0.36,0.2537,incons,28,28
21,0,6,0,,0.12,0.1061,0.39,0.3582,2,35,37
22,0,6,0,1,incons,0.1061,0.36,,1,33,34
23,0,6,0,,0.1,0.0606,0.39,0.4478,0,22,22
0,0,0,12.07,1,0.1,,0.42,0.3881,1,24,-22.3228125
1,-10.884125,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
,0,0,0,1,incons,,0.46,0.4627,0,11,11
3,-10.884125,0,,1,,0.0758,0.46,0.4179,0,4,4
4,0,13.8775,0,1,0.08,0.0909,0.53,0.194,0,1,1
5,0,0,0,incons,0.08,0.0909,0.53,0.194,0,1,1
6,,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
8,,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
incons,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
10,0,0,0,1,0.14,0.1061,0.43,,0,49,49
11,0,,0,1,0.16,0.1212,0.4,,2,47,49
12,0,0,0,1,0.18,0.1364,,0.4478,,-15.8789375,83
13,0,-8.4625,,,0.2,0.1667,0.34,0.4478,6,69,-22.3228125
14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
15,0,0,incons,1,0.22,,0.35,0.3582,5,77,82
16,0,0,0,1,0.2,0.1667,0.34,0.4478,,79,92
17,0,0,0,3.5,0.18,0.1515,0.37,0.3881,3,59,62
18,0,0,0,1,0.16,0.1364,-7.178,0.3284,4,44,48
19,0,0,0,incons,0.16,0.1364,0.43,,,40,41
20,0,-8.4625,0,1,0.14,0.1212,0.46,-9.925,0,38,38
21,,0,0,-2.5,3.4328,0.1061,0.46,0.4179,1,19,20
22,0,0,0,,0.14,0.1212,0.46,0.2985,5,10,37.3936875
23,0,0,0,1,0.12,0.1364,0.5,0.194,0,,6
0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
1,incons,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
2,0,1,,1,0.12,0.1212,incons,0.2239,0,3,3
3,0,1,1,1,,incons,0.5,0.2239,0,1,1
4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,
5,0,13.8775,incons,1,0.1,,0.54,0.2537,0,incons,3
6,0,1,1,-2.5,0.12,-3.4875,0.5,0.2836,0,31,incons
7,0,1,1,1,,,0.5,0.2239,2,75,77
8,0,1,-10.45,2,0.12,,0.5,0.2836,4,incons,188
9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
10,0,,,2,0.14,0.1212,0.5,0.2985,0,31,31
11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
12,0,incons,1,2,0.2,0.1818,0.4,incons,5,47,52
10.375,-10.884125,1,1,2,0.2,,0.4,0.2836,incons,50,37.3936875
14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
incons,0,1,,2,,0.197,0.4,0.2239,2,43,45
16,0,1,1,1,0.2,0.2121,0.4,incons,4,70,74
17,0,1,1,3.5,0.2,0.2273,0.4,0.1045,-11.1,174,178
,0,1,1,1,0.2,,0.4,0.2239,1,154,155
19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
20,0,1,incons,1,incons,0.1667,0.5,0.1642,1,73,74
21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
22,0,1,1,1,0.14,0.1515,0.59,,2,,24
incons,0,1,1,1,0.14,0.1515,0.59,0.1642,0,,18
0,0,2,,1,3.4328,0.1667,0.59,0.1045,2,10,12
1,18.130475,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
2,0,2,1,2,0.16,0.1515,0.55,,0,3,3
5,0,2,1,2,incons,0.1818,,0.1343,0,6,6
,0,2,1,2,0.16,0.1818,,0.1343,0,26.7273625,27
7,0,2,1,,0.16,0.2273,0.55,0,2,97,
8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
9,0,2,1,2,0.18,0.197,0.51,0.1642,3,incons,130
10,0,,1,incons,0.2,5.2925,-7.178,0.1642,3,51,54
11,0,2,-10.45,incons,0.2,0.2121,incons,16.355,4,31,35
12,0,,1,2,0.2,0.2273,0.51,0.1045,2,55,57
13,0,2,1,2,0.2,0.2273,0.59,0.0896,-11.1,46,52
14,0,2,1,,0.2,0.2273,,0.0896,3,60,63
15,0,2,1,2,0.16,0.197,0.8,16.355,2,45,47
16,0,2,1,2,0.16,0.1515,,0.2239,4,72,76
,0,2,1,2,0.16,0.1515,0.86,,6,incons,136
18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,incons
19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51
20,18.130475,2,1,incons,0.16,0.1515,11.9068,0.194,0,32,32
21,0,2,1,3,,0.197,0.86,0.0896,0,20,20
,0,,1,3,3.4328,0.1818,0.93,0.1045,1,incons,29
23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
incons,18.130475,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
1,incons,3,1,2,0.16,,0.86,0.1045,0,6,6
incons,0,3,1,,0.14,0.1515,0.86,0.1343,0,1,1
5,0,3,1,1,3.4328,0.1515,0.86,0.1642,0,5,5
6,0,3,1,1,-2.388,0.1515,0.93,0.1343,0,16,16
7,0,3,1,1,,0.1515,0.69,0.1343,0,incons,54
8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,incons
9,0,3,-10.45,1,0.16,,0.59,0.3284,3,,-22.3228125
incons,incons,3,1,1,3.4328,0.1818,0.55,0.2239,0,39,39
11,0,3,1,1,0.2,0.1818,incons,0.3881,3,32,35
12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
14,0,incons,1,1,0.2,0.1818,0.47,0.3284,0,44,44
15,0,,1,1,0.2,0.1667,0.47,0.4179,1,48,49
16,0,3,1,1,0.22,,0.44,0.3284,5,63,68
17,incons,3,1,1,0.2,0.1818,0.47,,0,26.7273625,37.3936875
18,0,3,1,1,0.2,5.2925,0.47,0.5224,2,135,137
19,0,3,1,1,0.18,0.1515,0.47,0.4179,,82,83
20,0,3,1,1,0.16,0.1364,0.5,16.355,2,54,56
21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
22,0,incons,1,1,0.16,0.1212,0.55,0.4478,1,32,33
23,0,3,1,3.5,0.14,0.1061,0.59,,incons,19,20
10.375,incons,,1,1,0.14,0.1212,0.59,,1,6,7
incons,18.130475,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2
,0,4,1,1,0.14,0.1212,incons,0.3582,0,2,2
3,0,4,1,1,0.14,5.2925,0.5,0.3284,0,3,3
4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4
5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3
6,0,4,,1,0.12,0.1515,0.54,16.355,0,incons,28
7,incons,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
8,0,4,1,1,0.14,0.1364,0.5,incons,5,,202
9,0,4,,1,,0.1212,0.5,0.3284,2,137,139
10,0,4,-10.45,incons,0.16,0.1364,incons,0.3582,2,36,38
11,-10.884125,4,1,2,0.2,0.1667,0.44,0.4478,4,incons,37
12,0,,1,1,incons,0.1667,0.44,0.4179,3,49,52
13,0,-8.4625,1,1,0.22,0.197,0.41,0.4478,18.26,26.7273625,83
14,0,4,1,1,0.22,0.197,0.41,incons,3,39,37.3936875
15,0,4,1,1,,0.2121,0.38,0.2985,5,55,60
16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162
18,0,4,1,-2.5,0.2,0.1818,0.4,0.3284,3,141,37.3936875
10.375,0,4,1,1,0.16,0.1515,0.47,16.355,1,98,99
20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,,64
21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40
22,0,4,,1,0.14,0.1212,0.46,0.3284,0,30,30
23,18.130475,4,1,1,0.12,0.1364,0.5,0.194,1,14,15
0,0,5,,1,0.12,incons,0.5,0.194,0,14,14
1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,,5
2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,incons,1
3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1
,0,5,1,1,0.1,0.1364,0.54,,incons,8,8
6,0,5,1,-2.5,0.1,0.1818,0.54,,0,17,-22.3228125
7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70
,0,5,,1,0.12,0.1667,,16.355,2,156,158
9,0,5,12.07,1,incons,0.1515,0.69,0.1343,0,117,117
10,0,5,1,1,0.18,0.1818,0.55,0.194,4,40,44
11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,47,37.3936875
12,0,5,1,3.5,0.2,0.197,0.44,0.2537,2,59,61
incons,0,5,1,1,0.22,0.197,0.37,0.3881,4,73,77
14,0,5,1,1,0.22,-3.4875,-7.178,0.2836,5,,64
15,0,5,1,1,incons,0.2424,0.38,0.1642,9,59,68
16,0,5,1,1,0.22,0.2424,0.41,16.355,3,87,37.3936875
17,0,5,1,1,0.22,0.2273,0.41,0.1642,incons,155,159
18,0,5,1,1,0.2,0.2576,incons,0,incons,134,139
,0,5,1,1,0.16,0.197,0.59,0.0896,3,89,92
20,0,-8.4625,1,1,0.18,0.2424,0.59,0,0,68,68
incons,0,,1,1,incons,0.2273,0.69,0,4,48,
22,0,5,1,2,0.16,,0.69,0,2,34,36
23,0,5,-7.45,2,0.18,,0.55,0,1,26,27
10.375,0,6,0,1,0.18,0.2424,0.55,0,3,25,28
1,0,6,0,2,incons,0.197,0.59,0.0896,2,18,20
2,0,6,0,2,0.16,0.197,0.59,-9.925,0,12,12
incons,0,6,0,2,0.16,0.2273,0.59,0,incons,7,8
4,0,6,incons,2,0.16,0.2273,0.59,0,0,-15.8789375,5
5,0,6,0,1,incons,0.2273,0.59,,0,1,1
6,0,6,0,1,0.14,0.1667,0.63,0.1045,incons,2,3
7,0,6,0,,0.14,-3.4875,0.63,0,-11.1,9,10
8,0,6,0,1,3.4328,0.1515,0.63,0.1343,1,,-22.3228125
9,0,6,0,1,,0.1818,0.64,0.1343,2,31,33
10,0,6,0,incons,0.18,-3.4875,0.59,0.1642,2,57,59
11,0,6,0,1,0.2,0.197,0.55,0.2239,18,54,72
12,0,6,0,1,0.24,-3.4875,0.48,0.2239,15,74,89
13,0,6,-10.45,1,0.28,0.2576,0.38,0.2985,21,80,101
14,0,-8.4625,0,1,0.3,0.2879,0.39,0.2836,,92,118
15,0,incons,,2,0.32,0.3182,0.36,0.194,21,108,129
16,0,6,0,2,0.34,0.3333,0.34,0.194,33,95,
17,0,6,0,2,3.4328,0.303,0.36,,29,54,83
18,0,6,0,2,0.3,0.2879,0.45,0.2537,15,69,84
19,0,6,0,2,0.32,0.303,0.39,0.2537,14,60,74
,0,6,0,2,0.32,0.303,0.39,0.2537,6,35,41
21,-10.884125,6,0,2,0.32,0.303,,0.2239,6,51,57
22,0,6,0,2,0.3,incons,0.42,0.1045,-11.1,26,26
23,0,6,0,1,0.3,0.2879,0.45,0.2836,5,39,44
0,,0,,1,0.26,0.303,0.56,0,6,33,39
1,0,0,0,1,0.26,0.2727,0.56,0.1343,4,19,23
2,0,0,0,1,0.26,0.2879,-7.178,,3,13,16
3,0,0,0,1,0.22,0.2727,-7.178,0,9,6,15
4,0,0,0,1,0.26,0.2576,incons,0.1642,0,incons,1
5,0,0,0,2,0.26,0.2576,0.56,0.1642,1,1,2
6,0,0,incons,-2.5,0.26,0.2576,0.56,0.1642,0,1,1
,0,-8.4625,0,,0.24,0.2121,0.56,0.2985,0,3,3
8,0,0,0,1,0.22,0.2121,0.55,0.2836,0,18,18
9,0,0,0,1,0.22,0.2121,0.51,0.2537,3,29,incons
10,0,incons,0,1,0.22,0.2121,0.51,incons,8,71,79
,0,0,incons,1,0.24,0.2273,0.44,0.2537,23,70,93
12,incons,incons,0,1,0.24,0.2121,0.41,0.2836,29,75,104
13,0,0,,1,0.26,0.2273,0.35,0.2985,23,95,118
14,0,0,0,1,incons,0.2727,0.36,0.2537,22,,91
,0,,0,1,,0.2424,0.38,0.2537,35,78,113
,0,0,0,1,incons,-3.4875,-7.178,0.2239,,incons,99
17,0,0,0,1,incons,0.2121,0.37,0.2537,23,26.7273625,105
18,0,0,0,1,0.2,0.2121,0.4,0.1642,11,56,67
incons,0,0,0,1,0.18,0.197,0.47,0.1343,14,47,61
20,0,0,-10.45,1,0.18,0.197,0.47,0.1642,7,50,57
,0,0,-10.45,1,0.18,0.197,incons,0.1642,6,incons,28
22,incons,0,,2,0.2,0.2121,0.49,0.1343,2,,21
23,0,0,,2,0.2,0.2273,0.4,0.1045,0,18,18
0,1,1,0,2,0.2,0.197,0.47,0.2239,1,16,17
1,1,1,0,2,0.2,0.197,0.44,0.194,1,15,16
2,,,-10.45,2,0.18,0.1667,0.43,0.2537,0,8,8
10.375,1,1,0,2,0.18,0.1818,0.43,0.194,0,2,2
4,1,1,0,2,0.18,0.197,0.43,0.1343,1,2,3
5,1,1,0,2,0.18,-3.4875,0.43,0.1642,0,1,incons
6,1,1,0,2,0.18,,0.43,0.194,0,,5
-12.625,1,13.8775,0,-2.5,0.16,0.1818,0.5,0.1343,18.26,9,13
8,1,1,0,2,3.4328,0.1515,11.9068,0.2239,3,30,33
9,1,1,0,2,0.16,incons,-7.178,-9.925,8,-15.8789375,47
10,1,1,17.07,2,0.16,0.1515,0.5,0.2537,7,50,57
11,1,1,0,2,0.16,-3.4875,0.55,0.194,9,55,64
12,1,1,0,2,0.18,0.197,0.47,0.1343,10,70,80
13,1,1,0,2,0.18,0.197,0.47,0.1343,13,-15.8789375,93
14,18.130475,1,0,2,0.18,0.2121,0.43,0.1045,incons,74,86
15,18.130475,1,0,2,0.2,0.2121,0.47,incons,18.26,72,93
16,1,1,0,2,0.2,0.2121,,0.1642,6,76,82
10.375,1,1,0,1,0.2,0.197,0.51,0.194,4,67,
,1,1,0,2,0.18,0.1667,0.55,0.2537,7,85,92
19,1,1,0,3,0.18,0.1818,0.59,0.194,2,26.7273625,60
20,1,1,0,3,0.16,incons,0.8,0.194,4,29,33
21,1,1,incons,3,0.16,0.1515,0.8,0.194,,24,27
22,1,1,0,3,0.14,0.1212,0.93,0.2537,,13,13
23,1,1,0,3,0.16,0.1364,-7.178,-9.925,1,3,4
12,0,2,1,2,0.2,0.1818,0.86,0.3284,0,3,3
13,0,incons,1,2,0.2,0.197,0.86,0.2239,0,22,22
14,0,2,1,2,0.22,0.2273,0.8,0.1642,2,26,-22.3228125
15,0,2,1,2,0.22,0.2273,0.87,0.1642,3,32,35
16,,2,17.07,2,0.22,0.2273,0.87,0.194,0,61,61
17,0,2,1,2,0.22,0.2273,0.82,0.194,1,124,125
18,0,2,1,2,0.22,0.2273,0.8,0.1642,1,132,
19,0,2,1,2,0.22,0.2273,0.8,0.1343,1,98,99
20,0,2,1,,0.22,0.2727,0.87,incons,0,83,83
21,,2,1,2,0.22,0.2424,0.93,0.1045,18.26,41,41
22,0,2,1,2,0.22,0.2576,0.93,0.0896,0,33,33
23,0,2,1,2,0.22,0.2727,0.93,0,1,19,20
incons,0,3,1,2,0.22,0.2727,0.93,0,,3,
incons,0,3,1,3,-2.388,0.2273,0.93,0.1343,1,6,7
