alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
9.4,0.077,0.24,0.9974,9.9,19.7975,-11.629,5.0,2.4,0.57,33.0,-15.213125
11.0,0.064,-20.22125,0.9988,9.5,5.0,3.21,6.0,6.3,0.73,17.0,0.46
11.7,0.118,0.49,-10.325,10.9,10.0,3.07,6.0,4.6,0.56,17.0,0.53
-11.525,0.095,0.24,0.9946,6.2,19.0,3.57,6.0,2.2,0.57,27.1525,0.36
9.3,0.086,0.41,0.9998,8.9,30.0,3.27,5.0,-14.7875,0.57,109.0,20.505
10.0,0.071,0.58,0.998,11.9,5.0,3.09,6.0,1.9,0.63,18.0,20.505
9.3,0.081,0.0,0.9975,7.7,6.0,3.3,5.0,2.6,0.52,14.0,0.835
9.3,0.097,0.26,0.9976,8.7,7.0,3.27,6.0,-14.7875,0.6,31.0,0.54
9.5,0.073,0.21,0.9964,7.9,46.0,3.27,5.0,1.9,0.58,102.0,0.35
9.7,0.065,0.0,0.9954,8.7,24.0,3.27,5.0,1.4,0.55,33.0,0.84
9.5,0.071,0.44,0.9992,9.5,-12.9625,3.46,5.0,2.3,0.63,68.0,0.59
10.1,0.115,0.1,-10.325,7.8,5.0,-11.629,7.0,6.0,0.69,11.0,0.64
9.6,0.106,0.39,0.9986,10.7,8.0,2.89,5.0,2.2,41.458325,27.1525,0.43
9.5,0.079,0.34,0.998,9.8,32.0,3.15,5.0,2.0,0.53,151.0,1.24
9.6,0.06,0.45,0.9972,10.8,20.0,3.13,5.0,3.3,0.54,49.0,0.26
10.8,0.071,0.55,0.9986,11.8,5.0,3.11,6.0,2.1,0.62,19.0,0.38
10.0,0.093,0.08,0.9956,7.0,10.0,3.4,5.0,2.0,0.47,19.0,0.78
10.1,0.08,0.43,18.035,10.6,21.0,3.06,5.0,25.5125,0.57,84.0,20.505
9.5,0.053,0.3,0.9965,7.1,36.0,2.94,5.0,2.2,1.62,20.84,0.31
20.035,0.086,0.1,0.9958,7.5,5.0,3.54,4.0,3.1,0.6,12.0,1.115
9.6,0.387,0.66,0.9982,9.5,22.2575,3.17,5.0,2.3,0.67,37.0,0.55
9.3,0.093,0.0,1.0002,8.2,22.2575,20.8174,6.0,2.5,0.65,58.0,0.59
9.5,0.095,0.54,1.0001,11.1,21.0,3.13,5.0,2.7,0.51,101.0,0.39
10.7,0.058,0.07,0.99525,7.8,22.0,3.51,-12.0,1.9,0.43,47.0,-11.375
9.6,0.096,0.26,18.035,9.3,5.0,3.25,21.0,2.0,0.42,35.0,0.655
9.5,0.093,0.11,0.99888,9.1,11.0,3.31,6.0,2.8,0.55,44.0,0.68
9.5,0.103,0.32,0.99938,7.5,22.2575,3.45,5.0,2.7,0.62,98.0,0.6
9.5,0.157,33.65275,0.99727,7.9,2.0,3.31,6.0,1.8,0.91,45.0,0.4
10.0,0.102,0.0,0.99586,7.2,7.0,3.43,5.0,3.0,0.46,16.0,1.0
10.8,0.055,0.0,0.99639,7.7,7.0,3.38,5.0,2.6,0.56,13.0,0.6
10.7,0.082,0.34,0.9987,9.4,5.0,3.29,6.0,3.6,0.52,14.0,0.5
9.6,0.114,0.08,0.9971,7.7,14.0,3.24,21.0,2.5,0.66,46.0,0.56
12.8,0.052,0.4,0.99356,8.2,4.0,18.6375,7.0,2.4,0.7,10.0,-11.375
12.5,0.041,0.39,0.99386,8.4,4.0,3.27,7.0,2.0,0.71,10.0,0.25
12.7,0.065,0.09,18.33875,7.8,-12.9625,3.46,8.0,2.3,0.74,45.0,0.57
-11.525,0.066,0.1,0.99655,7.6,27.0,3.39,-12.0,1.5,0.51,55.0,0.665
10.6,0.062,0.46,0.9959,9.9,26.0,-11.629,-12.0,1.7,0.83,42.0,0.25
10.6,0.054,0.47,0.99686,11.7,17.0,3.15,7.0,1.7,0.67,32.0,0.28
11.1,0.067,0.37,0.99552,9.1,6.0,3.23,7.0,1.6,-20.855875,10.0,0.21
11.8,0.109,0.4,0.99614,8.8,7.0,3.31,7.0,25.5125,0.79,15.706625,0.31
11.4,0.068,0.0,0.99533,7.6,-11.2625,3.48,21.0,2.1,0.65,35.0,0.715
12.1,0.066,0.38,-10.83125,10.7,29.0,3.15,7.0,2.6,0.79,-15.7875,0.52
10.8,21.414975,0.1,0.99736,7.4,16.0,3.58,7.0,2.4,-20.855875,33.0,0.635
9.5,0.081,0.2,0.998,9.2,15.0,3.23,5.0,3.0,0.59,115.0,20.505
11.0,0.084,0.27,0.9964,7.2,12.0,3.39,5.0,2.6,0.71,78.0,0.54
11.5,-11.291625,0.39,0.99331,7.3,-12.9625,3.29,6.0,1.2,0.52,11.0,26.901875
11.9,0.079,0.4,0.99512,8.6,3.0,3.27,6.0,2.2,0.67,6.0,0.315
11.2,0.055,0.27,0.99516,8.6,14.0,3.18,5.0,2.3,0.8,28.0,0.47
9.3,0.078,0.14,0.99592,7.1,7.0,3.27,5.0,1.6,0.62,20.84,0.56
20.035,0.079,0.09,0.99669,18.055,7.0,-11.629,-12.0,2.9,0.61,22.0,0.56
12.1,0.073,0.41,0.99658,8.8,7.0,3.3,7.0,5.9,0.62,13.0,0.33
10.5,0.065,0.3,0.99774,9.1,8.0,3.32,6.0,1.9,0.71,17.0,0.5
9.4,-11.291625,0.28,0.99694,7.1,31.0,3.45,5.0,2.0,0.48,68.0,0.34
9.4,0.082,0.28,18.035,7.1,31.0,3.45,5.0,2.0,0.48,68.0,-11.375
10.1,0.079,0.06,0.99697,7.7,19.0,3.39,6.0,2.0,0.62,41.0,0.6
12.8,0.087,0.0,0.99378,5.6,3.0,-10.6625,7.0,2.2,0.63,11.0,0.66
12.8,0.067,0.32,0.9928,6.8,4.0,3.36,7.0,1.8,0.55,8.0,0.36
11.7,-11.291625,0.34,0.99516,18.055,12.0,3.26,7.0,2.0,0.84,25.0,0.3
9.2,0.074,0.1,0.99672,7.3,20.0,3.35,5.0,1.8,0.56,56.0,0.91
20.035,0.076,0.0,0.99612,7.6,33.0,3.31,6.0,1.7,0.62,45.0,0.78
9.1,0.095,0.27,-10.83125,8.2,5.0,3.13,6.0,2.0,0.62,77.0,0.64
11.8,0.067,0.09,0.99418,8.2,5.0,3.28,6.0,2.0,0.57,10.0,0.74
12.3,0.05,0.68,0.99316,7.9,37.5,3.01,7.0,8.3,0.51,289.0,0.3
9.6,0.074,0.08,0.99529,6.8,40.0,3.12,21.0,1.8,0.49,64.0,0.48
11.2,0.057,0.42,0.994,7.9,18.0,3.29,6.0,1.6,0.69,30.0,0.19
20.035,0.083,0.54,0.99451,-10.225,42.0,2.98,8.0,1.9,0.63,74.0,0.26
10.5,0.087,0.47,0.99772,9.4,6.0,3.15,5.0,2.5,0.5,20.0,20.505
10.8,0.171,0.43,0.9982,10.8,27.0,3.17,6.0,2.1,0.76,66.0,0.47
10.4,0.058,0.0,0.9977,9.1,5.0,3.18,6.0,-14.7875,0.63,10.0,0.6
9.8,0.178,0.12,0.996,7.8,6.0,3.28,6.0,1.8,0.87,21.0,0.5
12.8,0.067,0.32,0.99473,8.2,4.0,3.3,7.0,2.8,0.76,12.0,0.33
10.2,0.076,0.43,0.99551,-10.225,12.0,3.21,6.0,1.4,0.75,21.0,-11.375
11.5,0.086,0.29,0.99502,7.6,5.0,3.32,6.0,2.3,0.62,14.0,20.505
-11.525,0.074,19.525,0.99649,18.055,5.0,3.27,6.0,2.1,0.74,27.1525,0.42
11.9,0.085,0.3,0.99346,7.0,6.0,3.33,6.0,-14.7875,0.46,39.0,0.43
11.0,0.074,0.46,-10.83125,7.2,24.0,3.4,-12.0,2.1,0.85,44.0,0.36
20.035,0.079,0.31,0.99677,7.9,10.0,3.29,21.0,25.5125,0.69,79.0,0.57
12.0,0.057,0.37,0.99408,8.2,43.0,3.23,6.0,-14.7875,0.81,74.0,0.34
9.4,21.414975,0.0,0.99659,7.8,7.0,3.26,21.0,1.7,0.64,27.1525,-11.375
9.3,0.076,0.2,0.99494,7.5,36.0,3.1,5.0,1.7,0.4,60.0,0.61
9.5,0.082,0.22,0.9983,8.3,10.0,3.37,5.0,25.5125,0.62,86.0,0.56
9.8,0.077,0.14,0.9963,7.5,27.0,3.28,5.0,2.2,0.59,60.0,0.58
10.3,0.081,0.05,18.035,7.2,-12.9625,3.38,6.0,2.3,0.6,36.0,0.57
14.0,0.044,0.03,0.9908,5.5,28.0,3.5,8.0,1.8,0.82,87.0,0.49
10.4,0.077,0.2,0.9956,7.1,28.0,3.37,6.0,1.9,0.64,54.0,0.46
10.5,0.09,0.5,0.99734,11.3,-12.9625,3.15,5.0,1.8,0.57,47.0,0.37
9.5,0.093,0.0,0.99558,6.6,51.0,3.2,5.0,4.3,0.45,77.5,0.63
9.8,0.083,0.27,0.99616,18.055,17.0,3.26,6.0,2.0,0.58,91.0,0.63
11.9,0.091,-20.22125,0.99638,9.9,10.0,3.18,6.0,2.2,0.69,41.0,0.44
11.8,0.065,-20.22125,0.99332,7.2,8.0,18.6375,6.0,2.3,0.51,46.0,0.62
10.03333333,21.414975,0.4,0.99704,11.6,6.0,3.07,6.0,1.4,0.65,28.0,0.475
9.2,-11.291625,0.51,0.99623,8.7,12.0,20.8174,5.0,1.7,1.17,66.0,0.78
11.1,0.068,0.0,0.9956,7.2,10.0,3.42,-12.0,2.2,0.72,24.0,0.67
9.9,0.08,0.21,-10.325,7.9,33.0,3.25,5.0,2.1,0.51,141.0,0.69
9.8,0.077,0.01,0.995,7.8,-11.2625,3.16,5.0,1.6,0.46,19.0,0.53
12.1,0.046,0.37,0.9971,7.7,23.0,18.6375,6.0,1.8,0.71,60.0,0.23
10.1,0.069,0.16,0.9955,-10.225,11.0,3.42,7.0,1.8,-20.855875,25.0,0.4
9.0,0.214,0.37,1.00369,10.2,55.0,3.18,6.0,15.4,0.77,95.0,0.54
9.6,0.094,33.65275,0.99713,18.055,19.0,-11.629,6.0,5.2,0.52,98.0,0.785
9.0,0.074,0.33,0.99706,7.6,27.0,3.41,-12.0,1.9,0.58,85.0,0.49
10.55,0.05,0.06,0.99236,6.0,38.0,3.3,6.0,-14.7875,0.5,89.0,0.54
10.4,0.075,0.03,0.99545,6.8,-12.9625,-10.6625,21.0,2.3,0.58,31.0,0.64
13.6,0.048,0.11,0.99182,5.3,16.0,3.54,7.0,2.2,-20.855875,89.0,0.47
11.95,0.05,0.06,0.99348,-10.225,6.0,3.57,5.0,1.6,0.54,18.0,0.65
10.6,21.414975,0.02,0.99492,18.055,15.0,3.35,6.0,1.9,0.81,28.0,0.43
9.6,0.076,0.04,18.33875,7.5,8.0,3.26,5.0,1.5,0.53,15.0,0.725
9.8,0.068,0.04,0.99712,7.1,19.0,3.44,5.0,2.1,0.67,27.1525,0.69
10.3,0.063,0.06,0.99489,6.5,29.0,3.38,6.0,2.0,0.83,27.1525,20.505
9.7,0.064,33.65275,0.99552,6.7,-12.9625,3.33,5.0,2.1,0.64,34.0,0.48
-11.525,0.075,0.13,0.9959,7.0,15.0,3.36,6.0,2.2,0.59,35.0,0.55
20.035,0.059,0.08,0.99484,5.4,20.0,3.5,6.0,1.9,0.64,31.0,0.58
10.55,0.065,0.17,0.99514,7.0,15.0,3.44,7.0,1.7,0.68,24.0,0.56
9.2,0.077,0.13,0.99629,7.0,25.0,3.34,5.0,1.6,0.59,27.1525,0.56
11.5,0.066,-20.22125,18.035,7.2,22.0,3.3,6.0,-14.7875,0.84,48.0,0.39
9.2,0.073,0.2,0.9977,6.6,29.0,3.29,5.0,7.8,0.54,79.0,0.725
11.6,0.089,0.09,0.99402,5.4,16.0,3.67,6.0,25.5125,0.56,26.0,0.74
